PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-26,13:03:30.29,1,1,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Miller, Glenn",1000114774,Right,EMU_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.1936,-3.768469,3.83806,2101.311881,152.685227,11:00,5.86344,-2.00151,6.20907,-13.02461,21.39442,-10.42249,1.2871,0.67758,81.82654,-6.30628,1.962512,0.422251,,,,,,,,,,,,6.55181,12.57308,1.71825,50,5.57307,-8.32293,-130.45721,-8.91585,11.20112,29.48818,-10.67891,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,42ba4290-b608-11ed-a81b-992bfdd4660a,89.26546,,,8.36705,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:03:30.29,2023-02-26T13:03:30.2949186-06:00,2023-02-26T19:03:30.2949186Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,4d5e315c-862d-4207-ad91-dfe1a58d25b1,54.2886,-131.42301,14.74409,5.85936,-8.56609,-5.33946,1.99686,-8.68979,5.60056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-26,13:03:43.47,1,2,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Miller, Glenn",1000114774,Right,EMU_EAG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.21173,-4.53272,3.56859,2217.91052,160.00879,11:15,5.73707,-2.03856,6.23729,-11.95213,22.46911,-7.72953,0.54295,0.61344,81.88116,-6.872794,2.176597,0.422265,69.05627,-7.962228,-93.948141,,,,,8.45802,5.12648,-75.499034,0.07647,5.10827,13.41276,1.7761,50,5.39201,-7.82082,-130.41031,-10.62278,8.72168,29.61965,-9.27362,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,4a97a840-b608-11ed-a81b-992bfdd4660a,89.26259,1.07435,,8.33057,,,,2.64673,1.07435,-0.52565,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:03:43.47,2023-02-26T13:03:43.4710850-06:00,2023-02-26T19:03:43.4710850Z,GroundBall,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,c51e2eae-bfcb-4faa-b0a2-8603b3e4cc0e,54.26106,-131.37455,14.80983,5.73291,-10.32089,-4.63681,2.03532,-8.10475,4.36084,180,2.64685,-6.91614,,,,,,,,1.0746,-14.04939,,,,,,,,-0.52392,-100.20869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2023-02-26,13:03:57.94,1,3,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Miller, Glenn",1000114774,Right,EMU_EAG,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.9575,-5.10089,4.296148,2082.647778,145.741569,10:45,5.71234,-2.12685,6.60127,-14.45237,19.81611,-12.65686,-0.19053,0.76151,81.65517,-7.903899,2.002498,0.421326,,,,,,,,,,,,8.05264,12.403,1.83863,50,5.35662,-9.28619,-129.92042,-11.96696,13.62269,29.82152,-11.19187,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,53234f50-b608-11ed-a81b-992bfdd4660a,89.46135,,,8.30233,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:03:57.94,2023-02-26T13:03:57.9471170-06:00,2023-02-26T19:03:57.9471170Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,438ee194-aef1-4f00-9b7b-0838e9f40747,53.89845,-130.8122,14.91076,5.70947,-11.63228,-5.59594,2.12241,-9.69356,6.81135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-26,13:04:15.43,1,4,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Miller, Glenn",1000114774,Right,EMU_EAG,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.48614,-2.659053,3.935294,2144.089142,152.053252,11:00,5.87829,-2.20123,6.05877,-13.99804,21.57796,-10.70934,2.24306,0.55445,80.06261,-5.405413,2.013984,0.429289,,,,,,,,,,,,6.79611,12.35709,1.90064,50,5.66366,-8.43207,-129.31734,-6.34146,11.26493,32.28595,-11.69147,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,5da40fa0-b608-11ed-a81b-992bfdd4660a,87.80199,,,9.42353,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:04:15.43,2023-02-26T13:04:15.4366274-06:00,2023-02-26T19:04:15.4366274Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,a5f49ed5-a5f9-4996-9732-3a0bddb7b625,54.43519,-130.41995,16.14297,5.87341,-5.94218,-5.84574,2.19517,-8.81678,5.63247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-26,13:04:28.80,1,5,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Miller, Glenn",1000114774,Right,EMU_EAG,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.55741,-2.739639,3.466494,2215.313223,153.247946,11:00,5.91407,-2.08992,5.96869,-13.81686,21.55525,-10.20619,2.21604,0.27742,80.67382,-5.433078,1.636937,0.428057,,,,,,,,,,,,6.3013,12.27363,1.82048,50,5.68879,-7.40489,-129.55421,-6.54292,10.55758,30.6508,-11.61004,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,65991c00-b608-11ed-a81b-992bfdd4660a,88.05468,,,8.88359,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:04:28.80,2023-02-26T13:04:28.8099650-06:00,2023-02-26T19:04:28.8099650Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,c2e4ee57-f3c5-484d-bc46-0d9344250e37,54.52646,-130.62072,15.3254,5.90943,-6.13894,-5.80502,2.08452,-7.77224,5.27879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-26,13:04:42.45,1,6,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Miller, Glenn",1000114774,Right,EMU_EAG,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.61144,-2.955494,4.593912,2170.167952,149.251921,11:00,5.7978,-2.16423,6.12608,-14.47253,20.55092,-11.48642,1.84848,1.13427,81.15367,-5.759545,2.533392,0.425942,,,,,,,,,,,,7.315,11.86355,1.81806,50,5.56332,-9.9328,-129.56277,-7.07136,12.32431,29.3012,-12.18633,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,6e75c940-b608-11ed-a81b-992bfdd4660a,88.49189,,,8.45777,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:04:42.45,2023-02-26T13:04:42.4524610-06:00,2023-02-26T19:04:42.4524610Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,ff9b7cae-62fe-47bd-ae8b-8798f21192e6,54.37122,-130.5476,14.6506,5.7941,-6.66177,-6.09316,2.15886,-10.34702,6.16216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-02-26,13:05:09.22,2,1,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Kirk, Matt",1000028594,Left,EMU_EAG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.31642,-3.124884,2.815151,2122.456942,160.945666,11:15,5.84972,-2.07324,6.15368,-13.43627,21.69241,-7.06193,1.83656,-0.05869,80.90132,-5.743378,1.543733,0.426582,,,,,,,,,,,,4.49059,12.50713,1.86262,50,5.60469,-6.06532,-129.34686,-7.38,7.53436,29.40895,-11.18946,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,7db2d920-b608-11ed-a81b-992bfdd4660a,88.35924,,,8.4151,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:05:09.22,2023-02-26T13:05:09.2222786-06:00,2023-02-26T19:05:09.2222786Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,f18d5699-2308-4aea-b0ab-1980060f812a,54.34243,-130.33044,14.70448,5.84525,-7.00577,-5.59473,2.06969,-6.3173,3.76718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-26,13:05:21.91,2,2,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Kirk, Matt",1000028594,Left,EMU_EAG,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.95501,-2.703486,4.091396,2161.226398,152.676322,11:00,5.85711,-2.16894,6.11555,-12.92973,21.87438,-10.65178,2.2718,0.73267,81.22663,-5.237233,2.179157,0.424607,,,,,,,,,,,,6.72772,12.4556,1.86009,50,5.64228,-8.85376,-130.11923,-6.45073,11.40431,30.17417,-11.06026,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,8624b6a0-b608-11ed-a81b-992bfdd4660a,88.77023,,,8.72838,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:05:21.91,2023-02-26T13:05:21.9119938-06:00,2023-02-26T19:05:21.9119938Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,04efcc8f-a638-4916-b274-2674c374a4f7,54.38036,-131.13108,15.08709,5.85238,-6.07984,-5.53013,2.1634,-9.23619,5.70216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-26,13:05:35.86,2,3,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Kirk, Matt",1000028594,Left,EMU_EAG,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.84452,-3.685605,5.778335,2208.50935,157.288652,11:15,5.82456,-1.94269,6.31648,-12.27701,21.63178,-8.55977,1.38472,2.68437,82.49997,-6.086623,4.243263,0.41911,,,,,,,,,,,,6.18843,12.71772,1.52268,50,5.54731,-12.92251,-131.0957,-8.7635,10.70095,29.36244,-10.18277,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,8d839d80-b608-11ed-a81b-992bfdd4660a,89.93458,,,8.34455,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:05:35.86,2023-02-26T13:05:35.8672194-06:00,2023-02-26T19:05:35.8672194Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,08703ada-1dd7-440f-8da7-8519d17c43c9,54.18216,-132.02908,14.68122,5.82074,-8.43981,-5.09139,1.93887,-13.26268,5.35048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-26,13:05:54.26,2,4,"Schultz, Donovan",1000098099,Left,EVA_ACE,"Kirk, Matt",1000028594,Left,EMU_EAG,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.35106,-3.40336,3.165603,2128.553547,166.379848,11:30,5.86531,-2.07379,6.07028,-11.61276,22.94202,-5.25524,1.73969,0.42061,81.63587,-5.691212,2.221737,0.423083,,,,,,,,,,,,3.67748,13.20965,1.83109,50,5.59471,-7.00387,-130.71633,-8.02849,6.28811,30.57374,-9.58692,EVA_ACE,EMU_EAG,EvansvilleU,D1,MVC,20230226-EvansvilleU-1,9886d440-b608-11ed-a81b-992bfdd4660a,89.08996,,,8.71518,,,,,,,e4e98fb6-d5df-4858-a88c-c4ec95763a35,2023-02-26,19:05:54.26,2023-02-26T13:05:54.2630000-06:00,2023-02-26T19:05:54.2630000Z,,v3,471290,471289,26 February 2023 14:00-emichigan@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,a73e1e17-b820-45d8-be82-5248457e983f,54.4253,-131.74731,15.28687,5.85999,-7.70521,-4.79346,2.07084,-7.21592,3.14406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.25755,2.271637,1.199616,1.072021,-0.50995,1.54573,-0.49478,-1.82572,5.64806,-0.35562,76.32833,4.3494,-48.45358,-1.74342,78.76928,-5.51824,5.69996,13.0117,-13.2945,-0.4442,-50.38616,5.19892,High,High,High,,,High,Medium,Medium
