PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-04,12:02:54.21,1,1,"Smith, Nick",1000119311,Right,EVA_ACE,"Ross, Tyler",1000078583,Right,BGS_FAL,Undefined,1,Top,0,0,0,Fastball,Cutter,FoulBall,Undefined,Undefined,Undefined,0,0,,86.37185,0.186638,-2.857664,2303.522509,186.983093,12:15,4.83525,2.09615,6.89281,-20.11651,16.26757,1.84169,3.32912,-0.3559,78.24661,-3.705169,-2.521586,0.434137,49.65074,61.472203,149.65665,3681.317394,,,,,21.43193,,,-1.88024,8.9826,-1.91637,50,4.83965,6.19974,-125.46771,-0.06692,-2.96316,28.07537,-18.01779,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,c9c99940-bab6-11ed-8d6c-27f292a8c2a6,86.82148,38.40504,,8.12524,,,,4.85007,3.6283,0.20951,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:02:54.21,2023-03-04T12:02:54.2176058-06:00,2023-03-04T18:02:54.2176058Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,ce55f6c5-3939-40ac-a48f-08edccc21639,53.60631,-126.2721,14.03769,4.83417,0.44931,-9.00889,-2.09522,6.28464,-1.48158,336.802922,4.85007,-30.01405,-1.67404,1.57824,-0.50752,0.12956,-0.03216,0.00867,-0.00131,3.6283,63.97946,-25.5994,2.87177,-0.55626,0.09671,-0.02841,0.00842,-0.00103,0.20951,17.56929,-4.62489,1.25809,-0.27744,0.05796,-0.01734,0.0047,-0.00058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2023-03-04,12:03:14.92,1,2,"Smith, Nick",1000119311,Right,EVA_ACE,"Ross, Tyler",1000078583,Right,BGS_FAL,Undefined,1,Top,0,0,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,85.90536,-0.19741,-2.597124,2306.307329,,,5.09173,2.3631,6.83083,,,,3.88383,0.67212,77.56429,-2.677849,-1.110048,0.437294,,,,,,,,,,,,-5.08784,13.40843,-2.19865,50,5.07335,5.35463,-124.72955,-0.60764,-7.92353,27.76471,-11.29246,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,d9b2a090-bab6-11ed-8d6c-27f292a8c2a6,86.19468,,,8.34107,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:03:14.92,2023-03-04T12:03:14.9259066-06:00,2023-03-04T18:03:14.9259066Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,8e6ab0e0-dc12-4eff-86ac-fdb4dd89b342,53.66455,-125.54263,13.88236,5.0863,-0.27695,-5.64623,-2.35885,5.58667,-3.96177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
3,2023-03-04,12:03:25.79,1,3,"Smith, Nick",1000119311,Right,EVA_ACE,"Ross, Tyler",1000078583,Right,BGS_FAL,Undefined,1,Top,0,1,1,Fastball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.24417,-0.899116,-3.398326,2353.345939,,,4.8773,2.19829,6.52198,,,,2.34375,-0.61846,77.04485,-4.83989,-2.735957,0.444045,,,,,,,,,,,,-2.97591,9.87599,-1.96305,50,4.80556,7.19907,-123.58152,-2.4512,-4.54363,27.55423,-17.09537,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,e21b5650-bab6-11ed-8d6c-27f292a8c2a6,84.8842,,,8.19932,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:03:25.79,2023-03-04T12:03:25.7911098-06:00,2023-03-04T18:03:25.7911098Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,bdae44f4-5d4b-474c-9b69-987beaacc3f5,53.97335,-124.46428,13.77711,4.87532,-1.90351,-8.54768,-2.19602,7.34464,-2.27181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,2023-03-04,12:03:38.63,1,4,"Smith, Nick",1000119311,Right,EVA_ACE,"Ross, Tyler",1000078583,Right,BGS_FAL,Undefined,1,Top,0,1,2,Fastball,,FoulBall,Undefined,Undefined,Undefined,0,0,,87.85889,-1.513692,-1.42899,2409.032289,,,5.20449,2.14881,6.81611,,,,3.48314,0.54579,78.89962,-2.488265,-2.083635,0.428824,,,,,,,,,,,,1.38252,17.24481,-2.05601,50,5.10228,3.32602,-127.49556,-3.20077,2.23779,30.2814,-4.26135,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,e8e724f0-bab6-11ed-8d6c-27f292a8c2a6,87.89726,,,8.95927,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:03:38.63,2023-03-04T12:03:38.6358074-06:00,2023-03-04T18:03:38.6358074Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,ac6fd6e4-0f27-4bfb-8d9c-c4e3184ff8c9,53.67523,-128.36549,15.1407,5.19248,-3.07835,-2.13067,-2.15063,3.26173,1.1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2023-03-04,12:03:55.50,1,5,"Smith, Nick",1000119311,Right,EVA_ACE,"Ross, Tyler",1000078583,Right,BGS_FAL,Undefined,1,Top,0,1,2,Fastball,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.5702,-0.15926,-2.960622,2413.796352,180.362045,12:00,4.75635,2.13524,6.87947,-20.16119,14.86434,0.0872,2.93093,-0.55774,80.25799,-4.023393,-2.944712,0.425955,,,,,,,,,,,,-0.85228,8.26973,-1.94768,50,4.73862,6.57932,-127.27494,-0.8515,-1.40089,25.62,-18.58129,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,f0f0f1d0-bab6-11ed-8d6c-27f292a8c2a6,88.48924,,,7.31221,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:03:55.50,2023-03-04T12:03:55.5060000-06:00,2023-03-04T18:03:55.5060000Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,c1a63452-488c-4e48-b473-711654a5d15b,53.61824,-128.00121,12.81,4.75529,-0.32476,-9.29064,-2.13475,6.61903,-0.70044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.99745,,,1.004639,,,,3.23887,5.90194,2.15887,74.81024,6.56115,-49.97227,3.19923,73.46421,-2.19239,5.98236,15.63775,-14.95089,1.99244,-61.91616,10.06437,High,High,High,,,High,Medium,Low
6,2023-03-04,12:04:20.67,2,1,"Smith, Nick",1000119311,Right,EVA_ACE,"Fallon, Adam",1000078576,Left,BGS_FAL,Undefined,1,Top,1,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.4102,-1.166496,-1.776487,2367.386592,171.784845,11:45,4.73059,2.18961,6.5178,-24.52041,11.84654,-1.55295,1.61623,0.42965,79.52096,-5.787018,-2.058429,0.434035,,,,,,,,,,,,0.34126,6.86764,-2.06528,50,4.63857,3.95446,-125.63923,-3.25383,0.54763,24.50435,-21.15292,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,fd4a1ba0-bab6-11ed-8d6c-27f292a8c2a6,86.84194,,,6.88924,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:04:20.67,2023-03-04T12:04:20.6795578-06:00,2023-03-04T18:04:20.6795578Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,65cf414c-3195-4327-b5be-5e4e8e1801e3,53.98094,-126.41328,12.25218,4.7308,-2.58564,-10.57646,-2.18992,3.93716,0.27382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-04,12:04:32.30,2,2,"Smith, Nick",1000119311,Right,EVA_ACE,"Fallon, Adam",1000078576,Left,BGS_FAL,Undefined,1,Top,1,0,1,Fastball,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.82054,0.14274,-2.355384,2399.270508,183.470391,12:00,4.72516,2.13318,6.67073,-22.31367,14.27509,0.80102,2.99639,0.04381,78.94422,-4.100011,-2.209707,0.435357,,,,,,,,,,,,-1.03232,7.82528,-1.97568,50,4.72547,5.10384,-124.79573,-0.27333,-1.63851,23.60124,-19.75397,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,04274f60-bab7-11ed-8d6c-27f292a8c2a6,86.57828,,,6.87632,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:04:32.30,2023-03-04T12:04:32.3028794-06:00,2023-03-04T18:04:32.3028794Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,2235d17b-f2f7-4665-aa12-09afb68dad91,53.82732,-125.51745,11.80062,4.72459,0.33074,-9.87699,-2.13252,5.15394,-0.81925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-04,12:04:44.08,2,3,"Smith, Nick",1000119311,Right,EVA_ACE,"Fallon, Adam",1000078576,Left,BGS_FAL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.084,0.147172,-0.699695,2386.569378,195.040596,12:30,4.75902,2.05644,6.51956,-20.79446,14.12017,3.51803,3.1612,1.70759,80.91453,-3.805977,-0.060774,0.42528,,,,,,,,,,,,-2.02244,7.68457,-2.00912,50,4.76,1.43011,-128.15323,-0.2437,-3.38168,25.13358,-19.32485,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,0b2ccba0-bab7-11ed-8d6c-27f292a8c2a6,88.62965,,,7.16947,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:04:44.08,2023-03-04T12:04:44.0836410-06:00,2023-03-04T18:04:44.0836410Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,fb05b7cf-4e32-4a6a-b2a8-981a1eda64d9,53.97866,-128.93117,12.56679,4.75829,0.35444,-9.66243,-2.055,1.53478,-1.69084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-04,12:04:55.40,2,4,"Smith, Nick",1000119311,Right,EVA_ACE,"Fallon, Adam",1000078576,Left,BGS_FAL,Undefined,1,Top,1,1,2,Fastball,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.7122,-0.099877,-1.813138,2383.803053,185.002507,12:15,4.73961,1.95156,6.42164,-24.1632,11.9919,0.95736,2.63415,0.36408,79.8219,-4.653497,-1.639706,0.432769,,,,,,,,,,,,-0.96882,6.62481,-1.82264,50,4.72137,3.95541,-126.10237,-0.9184,-1.57038,24.04419,-21.4356,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,11eed640-bab7-11ed-8d6c-27f292a8c2a6,87.09594,,,6.8903,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:04:55.40,2023-03-04T12:04:55.4031930-06:00,2023-03-04T18:04:55.4031930Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,7e79b871-6ca3-45d3-9375-e4d6b6c6e87f,54.07689,-126.87734,12.0221,4.73983,-0.22751,-10.7178,-1.95095,4.00602,-0.78519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-04,12:05:19.61,3,1,"Smith, Nick",1000119311,Right,EVA_ACE,"Gurney, Kyle",1000078577,Right,BGS_FAL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.57782,-1.743533,-2.29674,2353.507234,203.318122,12:45,4.78058,2.02513,6.89837,-21.0397,14.68379,5.86418,1.4373,0.42055,79.6402,-5.75955,-1.224628,0.430178,,,,,,,,,,,,-3.73795,8.6213,-1.88219,50,4.66285,4.84434,-125.89037,-4.35707,-6.02202,24.6277,-18.28472,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230304-EvansvilleU-1,208dd160-bab7-11ed-8d6c-27f292a8c2a6,87.62058,,,6.93761,,,,,,,359af339-3e99-4f48-bd80-9043729ed62c,2023-03-04,18:05:19.61,2023-03-04T12:05:19.6135226-06:00,2023-03-04T18:05:19.6135226Z,,v3,471290,471244,,"Hord, Brendan",1000049391,Right,EVA_ACE,d835e4ec-13e8-418f-8c81-49a078537b19,53.60077,-126.59283,12.31385,4.77969,-3.83554,-9.14236,-2.02282,5.01611,-3.01101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
