PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-18,13:01:35.50,1,1,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,96.85542,-3.325529,-3.186609,2339.014521,221.460835,1:30,6.27958,1.75507,6.99368,-10.36457,18.42387,15.41989,2.38397,0.13957,88.08775,-5.385035,-0.365786,0.386172,96.14905,3.38791,11.979661,1388.745708,,,,95.00571,94.02352,14.539169,0.731681,-9.15445,11.09717,-1.56358,50,6.07088,7.21591,-140.50894,-8.37062,-18.19854,33.50516,-10.11354,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,aaab1820-afbe-11ed-9eb1-a71efad1e768,97.60535,3.35071,,8.76767,,,,0.43386,2.27831,-0.09222,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:01:35.50,2023-02-18T13:01:35.5037400-06:00,2023-02-18T19:01:35.5037400Z,GroundBall,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,bf8bcab5-f731-4e8b-958f-af020b1e5e04,53.5066,-141.34264,16.75258,6.27603,-8.11897,-5.05677,-1.74877,7.66873,-9.09927,265.827853,0.47606,136.92712,-16.32393,,,,,,,2.29714,7.98721,-15.24028,,,,,,,-0.11725,29.68531,4.24081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2023-02-18,13:02:16.83,2,1,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,98.69155,-3.853902,-2.750958,2314.684066,202.055915,12:45,6.30824,1.55398,7.03869,-9.9226,17.57706,6.77248,1.97081,-0.38278,90.47174,-5.808628,-1.510803,0.377429,,,,,,,,,,,,-4.35362,10.6991,-1.38897,50,6.07021,6.61211,-143.21047,-9.84891,-9.06235,32.35784,-9.90313,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,c34ace20-afbe-11ed-9eb1-a71efad1e768,99.86634,,,8.21981,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:02:16.83,2023-02-18T13:02:16.8320216-06:00,2023-02-18T19:02:16.8320216Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,b201400d-a106-4047-91ef-4b8d1331d533,53.46121,-143.9904,16.17892,6.30472,-9.61021,-4.95157,-1.55097,6.83053,-4.53117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-18,13:02:29.98,2,2,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,99.21158,-3.792476,-1.616792,2286.849993,200.783516,12:45,6.22236,1.71923,6.89115,-7.96536,19.39966,7.03272,2.09698,0.8319,90.78258,-5.388708,-0.331223,0.376504,,,,,,,,,,,,-4.16827,11.60741,-1.61915,50,5.97883,3.77645,-144.03394,-9.67249,-8.76355,33.19626,-7.77001,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,cb2a2fa0-afbe-11ed-9eb1-a71efad1e768,100.11176,,,8.42899,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:02:29.98,2023-02-18T13:02:29.9844824-06:00,2023-02-18T19:02:29.9844824Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,75fb1503-1068-4a80-b6a8-01a3d3d73973,53.60855,-144.86323,16.59813,6.21804,-9.47839,-3.885,-1.71623,3.99538,-4.38178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-18,13:02:43.72,2,3,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.86084,-1.953438,-2.206838,2295.027984,222.890528,1:30,6.24035,2.16067,6.81308,-11.30355,17.00217,14.92166,3.51401,1.38957,88.96291,-4.177844,0.516627,0.38292,,,,,,,,,,,,-8.49158,9.83627,-2.02263,50,6.10934,4.85314,-142.1677,-5.09585,-17.28438,34.25381,-12.15257,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,d367ddc0-afbe-11ed-9eb1-a71efad1e768,98.43419,,,8.89794,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:02:43.72,2023-02-18T13:02:43.7258968-06:00,2023-02-18T19:02:43.7258968Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,7b5677c7-62a0-4328-ba0a-b8fae08063cb,53.68591,-143.05303,17.1269,6.23699,-4.78175,-6.07629,-2.15384,5.29987,-8.64219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-18,13:03:05.26,2,4,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,1,1,2,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,82.58128,1.122623,-0.831225,2537.874259,55.821469,7:45,6.20904,1.83876,6.39817,-51.78672,-11.31241,-18.59745,2.92615,-0.47553,75.51365,-8.449047,-4.206195,0.45789,,,,,,,,,,,,9.49855,-5.92473,-1.77089,50,6.26616,2.41296,-120.09413,0.72507,13.70761,25.83049,-40.72421,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,e053aaa0-afbe-11ed-9eb1-a71efad1e768,82.31769,,,7.06763,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:03:05.26,2023-02-18T13:03:05.2605656-06:00,2023-02-18T19:03:05.2605656Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,18610b4c-eb26-46b2-9fcc-0bae3c25ea76,54.10591,-120.97403,12.91525,6.21783,2.11231,-20.36211,-1.84513,1.94602,6.85381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-18,13:03:30.30,2,5,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,98.48759,-2.42159,-2.520092,2393.662931,219.973234,1:15,6.28912,1.75634,6.95867,-11.72568,15.83647,12.57355,3.10517,0.50967,90.3827,-4.707432,-0.219546,0.377857,,,,,,,,,,,,-7.34741,9.33705,-1.60353,50,6.13421,5.79563,-143.15665,-6.32807,-15.31161,31.74517,-12.71606,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,ef259ca0-afbe-11ed-9eb1-a71efad1e768,99.7531,,,8.10489,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:03:30.30,2023-02-18T13:03:30.3020000-06:00,2023-02-18T19:03:30.3020000Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,689a7d57-3e53-4066-b79c-c9cae030f030,53.5419,-143.93993,15.87258,6.28647,-6.01431,-6.35803,-1.75119,6.17342,-7.65581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.52394,2.618874,1.674342,0.944531,-1.46451,2.86408,-0.50182,1.5721,4.57853,-2.89246,72.58421,9.01769,-52.19727,1.66107,80.14568,-5.31288,4.69262,18.78011,-14.98034,-3.01619,-57.50715,5.69941,High,High,High,,,High,Medium,High
7,2023-02-18,13:03:56.61,3,1,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.59094,-1.00695,-1.822373,2454.627828,210.951729,1:00,6.24958,1.61456,6.86535,-11.46272,16.87048,9.56713,4.37595,0.75015,88.80797,-3.26308,-0.074305,0.383106,,,,,,,,,,,,-5.55796,9.49197,-1.50126,50,6.1806,4.11573,-141.87325,-2.7385,-11.28483,33.61593,-12.90168,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,fec2a6d0-afbe-11ed-9eb1-a71efad1e768,98.3864,,,8.78296,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:03:56.61,2023-02-18T13:03:56.6116056-06:00,2023-02-18T19:03:56.6116056Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,f4150cd6-9c4b-466b-a8b0-e6eb1cd8b479,53.63286,-142.73144,16.80796,6.24631,-2.40913,-6.45084,-1.61001,4.40383,-5.64241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-18,13:04:11.55,3,2,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,97.11412,-2.20102,-2.112953,2334.62913,212.776736,1:00,6.32178,1.7626,6.82845,-11.6256,16.98111,10.34764,3.34295,0.69669,88.70351,-4.476837,-0.22387,0.384951,,,,,,,,,,,,-6.04071,9.87607,-1.62987,50,6.17529,4.78096,-141.11516,-5.68387,-12.17311,32.2995,-12.27195,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,07b65e80-afbf-11ed-9eb1-a71efad1e768,97.91493,,,8.41061,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:04:11.55,2023-02-18T13:04:11.5522776-06:00,2023-02-18T19:04:11.5522776Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,2f8da4b7-d39c-4fa7-aa5b-d43cb0cade66,53.67068,-141.95285,16.14975,6.31857,-5.3656,-6.13598,-1.75796,5.09667,-6.08656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-18,13:04:26.80,3,3,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,97.7318,-3.095778,-2.979176,2377.656286,221.88809,1:30,6.25552,1.79279,7.02014,-13.18674,14.83761,12.52442,2.33659,0.12654,89.59564,-5.651943,-0.685884,0.381012,,,,,,,,,,,,-7.47882,9.03359,-1.61449,50,6.06169,6.892,-141.91588,-8.00062,-15.2867,31.79115,-13.70945,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,10ce18f0-afbf-11ed-9eb1-a71efad1e768,98.92705,,,8.13616,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:04:26.80,2023-02-18T13:04:26.8021464-06:00,2023-02-18T19:04:26.8021464Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,7afef2b6-aa1f-4237-b310-e674b2f7a813,53.4803,-142.69339,15.89558,6.25326,-7.66533,-6.85472,-1.78761,7.26586,-7.64335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-18,13:04:41.26,3,4,"Fruit, Zach",1000050209,Right,TRO_TRJ,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,2,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,98.82589,-3.78852,-1.569344,2371.793177,215.189939,1:15,6.26564,1.81592,6.92017,-11.75965,15.60194,10.43296,1.82968,1.256,91.13594,-6.061513,0.339893,0.37648,,,,,,,,,,,,-5.96,9.5391,-1.72072,50,6.02333,3.51989,-143.58716,-9.79505,-12.53884,30.84282,-12.10531,TRO_TRJ,EVA_ACE,RiddlePaceField,D1,SBELT,20230218-RiddlePaceField-1,19657fd0-afbf-11ed-9eb1-a71efad1e768,100.11797,,,7.68995,,,,,,,ef0bdfc2-d3e0-4a9c-afab-97f86430e6c7,2023-02-18,19:04:41.26,2023-02-18T13:04:41.2654808-06:00,2023-02-18T19:04:41.2654808Z,,v3,471470,471290,18 February 2023 14:00-evansville@troy,"Bartolero, Caleb",1000058952,Right,TRO_TRJ,fd40e3bd-51bb-40bd-b7f5-ec829749a58e,53.58118,-144.35436,15.42141,6.26323,-9.49394,-6.05266,-1.81215,3.83179,-6.26942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
