PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-21,16:02:16.22,1,1,"Smith, Travis",1000112342,Right,KEN_WIL,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.61057,-1.751673,-1.900751,1975.725307,238.154041,2:00,6.11994,1.86769,5.9353,-22.43104,9.29158,13.40265,2.62423,1.22057,85.98832,-5.928232,0.50753,0.405374,,,,,,,,,,,,-7.3626,5.53618,-1.72342,50,5.96739,3.91961,-135.96134,-4.94066,-13.83494,28.72969,-21.77107,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,05f0fa10-b22b-11ed-b149-c5c4cae896c9,92.9819,,,7.62225,,,,,,,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:02:16.22,2023-02-21T16:02:16.2214388-05:00,2023-02-21T21:02:16.2214388Z,,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,9478c427-7c8f-4946-b100-5e7a98f41dc9,54.56353,-136.92225,14.36484,6.12046,-4.21249,-10.88554,-1.86226,4.38234,-6.91747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-21,16:02:28.63,1,2,"Smith, Travis",1000112342,Right,KEN_WIL,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.53607,-0.081406,-2.563608,1965.70069,249.593146,2:15,6.0614,1.68373,5.90017,-24.80045,6.2974,14.43083,3.91905,0.50483,86.78101,-4.686071,0.025107,0.401362,,,,,,,,,,,,-8.04918,3.53799,-1.48569,50,6.04061,5.5025,-137.33313,-1.09721,-15.45424,28.89812,-25.38119,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,0d7c6f30-b22b-11ed-b149-c5c4cae896c9,93.91122,,,7.75506,,,,,,,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:02:28.63,2023-02-21T16:02:28.6345716-05:00,2023-02-21T21:02:28.6345716Z,,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,a3786770-719a-4ae4-adad-18de327fdfc7,54.59931,-138.29755,14.44906,6.0631,-0.25016,-12.6906,-1.67793,6.01826,-7.72712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-21,16:02:42.15,1,3,"Smith, Travis",1000112342,Right,KEN_WIL,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,94.12081,-1.753475,-3.064089,2116.630223,228.317508,1:30,6.06204,1.764,6.04366,-20.57895,10.54792,10.83556,2.72089,-0.17257,86.84788,-5.594874,-1.11632,0.401549,94.71282,-11.26461,58.566077,,,,,14.90487,11.45704,51.349063,0.099775,-6.39422,6.15807,-1.53109,50,5.91401,6.85909,-136.69802,-4.88563,-12.21268,27.48382,-20.41245,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,15447820-b22b-11ed-b149-c5c4cae896c9,93.86748,2.71255,,7.27293,,,,2.20681,2.71255,0.02009,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:02:42.15,2023-02-21T16:02:42.1543924-05:00,2023-02-21T21:02:42.1543924Z,GroundBall,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,110ec695-fe46-4363-91c3-b94bdc08d974,54.457,-137.59121,13.74191,6.06201,-4.22226,-10.20622,-1.76045,7.25598,-6.10634,180,2.20465,71.18383,,,,,,,,2.71338,-27.1866,,,,,,,,0.01655,116.46272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2023-02-21,16:03:05.90,1,4,"Smith, Travis",1000112342,Right,KEN_WIL,"Shallenberger, Mark",1000078772,Left,EVA_ACE,Undefined,1,Top,0,2,1,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,94.35461,-0.708347,-3.896403,2217.287675,226.026244,1:30,5.9978,1.61884,5.95816,-19.00993,12.25524,11.71131,3.75522,-1.02401,86.43361,-4.280551,-1.798584,0.402441,76.12836,-0.644778,-161.297278,2029.017697,,,,44.75152,44.75152,-166.986613,0.452563,-7.04768,6.77052,-1.31561,50,5.93076,8.80571,-136.8648,-2.32887,-13.42671,28.96666,-19.27535,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,23760b70-b22b-11ed-b149-c5c4cae896c9,93.65961,3.43342,,7.921,,,,0.90003,3.43342,1.39001,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:03:05.90,2023-02-21T16:03:05.9034612-05:00,2023-02-21T21:03:05.9034612Z,GroundBall,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,f4386b85-1a78-4df4-8cd6-6ca56c7ac9a2,54.54091,-137.82251,14.48333,5.99722,-1.69158,-9.63767,-1.61408,9.24963,-6.71335,,0.90003,-105.75213,16.87387,-1.0011,-0.20354,0.16755,-0.07989,0.04469,-0.01822,3.43342,-1.25648,-14.96463,2.40852,-0.62346,0.18175,-0.04892,0.01307,-0.00275,1.39001,-35.80072,25.80359,-6.62159,1.68356,-0.39354,0.08386,-0.0124,-0.00076,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
5,2023-02-21,16:03:56.13,2,1,"Smith, Travis",1000112342,Right,KEN_WIL,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,0,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.64142,-0.924856,-1.95087,2448.42429,75.220863,8:30,6.26987,1.73213,5.36285,-43.43026,-0.98075,-8.27835,1.78286,-0.78779,75.83626,-8.781683,-3.423458,0.46893,,,,,,,,,,,,3.6689,0.11441,-1.55086,50,6.15572,4.375,-118.58853,-3.46202,5.26395,21.08256,-32.00988,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,416884a0-b22b-11ed-b149-c5c4cae896c9,80.37973,,,5.80516,,,,,,,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:03:56.13,2023-02-21T16:03:56.1345524-05:00,2023-02-21T21:03:56.1345524Z,,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,ac4750df-12a3-481c-be5a-6f7889103cea,55.13772,-119.49842,10.54128,6.27533,-2.08053,-16.00494,-1.73478,4.14781,2.63198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-21,16:04:14.25,2,2,"Smith, Travis",1000112342,Right,KEN_WIL,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,93.89478,-1.739392,-4.253308,1919.219457,254.453453,2:30,6.01108,1.8392,5.83189,-26.86025,4.91138,14.15686,2.15096,-0.9419,86.26622,-6.693134,-1.721951,0.405687,77.95431,6.13263,82.472162,5136.645429,,,,106.607,78.92055,88.026342,1.044489,-8.35717,3.27417,-1.49993,50,5.85287,9.48883,-136.08136,-5.13652,-15.74029,28.62502,-26.00728,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,4c2def10-b22b-11ed-b149-c5c4cae896c9,92.91013,4.62866,,7.62857,,,,-0.4798,1.92555,1.08263,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:04:14.25,2023-02-21T16:04:14.2553588-05:00,2023-02-21T21:04:14.2553588Z,GroundBall,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,ea46c21e-a9af-44f8-8084-13105949275f,54.66778,-137.05972,14.31251,6.01324,-4.24762,-13.00364,-1.83344,10.02681,-7.87014,,-0.4798,14.89278,-12.74643,2.70406,-0.59466,0.12619,-0.02657,0.00494,-0.00054,1.92555,12.21421,-14.04764,0.62513,-0.07037,0.01131,-0.00031,-1E-05,-1E-05,1.08263,112.69875,-13.27954,2.35129,-0.44425,0.0827,-0.0161,0.00294,-0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
7,2023-02-21,16:04:53.00,2,3,"Smith, Travis",1000112342,Right,KEN_WIL,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,2,Curveball,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,82.07305,-0.140371,-1.618935,2581.388876,53.339752,7:45,6.3084,1.55317,5.24427,-45.20065,-2.43862,-5.16571,2.4097,-0.39915,75.05906,-8.347658,-2.536091,0.470653,66.3984,-50.505748,-74.437637,,,,,3.12857,2.41602,-31.178992,0.033207,2.11496,-0.81453,-1.40039,50,6.26167,3.57871,-119.05495,-1.93144,3.01281,24.45448,-33.33438,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,634668d0-b22b-11ed-b149-c5c4cae896c9,80.08544,2.5058,,7.01399,,,,2.1226,2.5058,0.36979,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:04:53.00,2023-02-21T16:04:53.0000372-05:00,2023-02-21T21:04:53.0000372Z,GroundBall,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,91168c3d-35f6-476b-b006-015894c8cf13,55.2553,-120.12957,12.22724,6.31436,-0.46661,-16.66719,-1.55474,3.44631,1.50641,,2.12223,16.68508,,,,,,,,2.50745,-75.45932,,,,,,,,0.3711,-59.91116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2023-02-21,16:05:20.14,2,4,"Smith, Travis",1000112342,Right,KEN_WIL,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,2,Curveball,Slider,InPlay,Undefined,FlyBall,Out,1,0,,80.91307,-0.993699,-1.196224,2591.762907,60.114659,8:00,6.41547,1.66736,5.02162,-47.7331,-3.14571,-8.13693,1.49969,-0.13972,73.87403,-9.608459,-2.636859,0.480593,85.69928,48.950678,-9.351158,4717.815356,109.54745,106.28457,-9.96662,268.09426,268.09426,-3.753628,5.590188,3.68843,-0.86126,-1.54588,50,6.28172,2.7894,-117.27523,-3.79335,5.072,24.79111,-33.35837,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,73766430-b22b-11ed-b149-c5c4cae896c9,78.42903,118.41319,,7.03904,,,,2.91148,1.54877,0.12883,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:05:20.14,2023-02-21T16:05:20.1431540-05:00,2023-02-21T21:05:20.1431540Z,FlyBall,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,47d32908-8798-482d-8413-34e8eeea6c63,55.47765,-118.4275,12.39556,6.42199,-2.24287,-16.67918,-1.67005,2.55365,2.536,196.939615,2.91089,81.43587,-18.67499,5.20563,-0.94898,0.07004,0.01111,-0.00269,0.00015,1.53872,94.97991,-23.44785,2.74896,-0.8545,0.25479,-0.04627,0.00429,-0.00016,0.13106,-13.4406,7.79715,-2.91327,0.72957,-0.11425,0.00756,0.00025,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2023-02-21,16:06:00.41,3,1,"Smith, Travis",1000112342,Right,KEN_WIL,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.10716,-0.549118,-3.294645,2089.641477,242.493337,2:00,6.08882,2.02557,5.90476,-24.80741,7.64705,12.59686,3.51096,0.01367,84.57529,-5.178657,-1.036981,0.410023,,,,,,,,,,,,-7.36894,4.41433,-1.76761,50,6.03062,7.20078,-134.98408,-2.17181,-13.51672,30.98154,-24.07692,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,8b7e4700-b22b-11ed-b149-c5c4cae896c9,91.92752,,,8.53187,,,,,,,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:06:00.41,2023-02-21T16:06:00.4125684-05:00,2023-02-21T21:06:00.4125684Z,,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,5925286e-556d-473b-a68e-fb782daf7a1d,54.59201,-136.03395,15.49077,6.09039,-1.35591,-12.03846,-2.01938,7.65882,-6.75836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-21,16:06:18.74,3,2,"Smith, Travis",1000112342,Right,KEN_WIL,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.47595,0.654566,-2.669322,2084.911151,238.530476,2:00,6.00001,1.67339,5.89823,-22.65734,8.73619,12.61981,4.72026,0.24514,85.94523,-3.586037,-0.406985,0.403266,,,,,,,,,,,,-7.17229,4.59445,-1.46554,50,6.0398,5.81347,-137.08742,0.7683,-13.61533,30.99734,-23.45225,KEN_WIL,EVA_ACE,UKentucky,D1,SEC,20230221-UKentucky-3,965c4280-b22b-11ed-b149-c5c4cae896c9,93.46799,,,8.53072,,,,,,,18a952d8-5760-4077-b7f2-55234af974f3,2023-02-21,21:06:18.74,2023-02-21T16:06:18.7494388-05:00,2023-02-21T21:06:18.7494388Z,,v3,471331,471290,21 February 2023 16:00-evansville@kentucky,"Stanke, Chase",681267,Right,KEN_WIL,464cb956-9029-4324-9b7c-2d471d88a47e,54.59898,-138.1234,15.49867,6.00102,1.55211,-11.72613,-1.66744,6.26852,-6.80766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
