PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-05,13:53:09.44,1,1,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Archer, Nathan",1000121176,Left,BGS_FAL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7981,-1.588744,-0.991512,2132.187173,224.175697,1:30,5.84081,1.19917,6.91247,-16.15481,15.92406,14.4243,3.04717,1.49817,83.40025,-4.724287,1.648509,0.407644,,,,,,,,,,,,-7.90359,9.2539,-1.14071,50,5.73485,1.74841,-133.44308,-4.07959,-14.13385,30.92614,-15.62549,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,5c4d2330-bb8f-11ed-8b41-dd2b01eed967,92.46417,,,8.39785,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:53:09.44,2023-03-05T13:53:09.4459780-06:00,2023-03-05T19:53:09.4459780Z,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,7aace514-3359-4065-bd85-a7358eaf20a3,53.58452,-134.27124,15.46307,5.8385,-3.66115,-7.81274,-1.1926,2.12689,-7.06693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-05,13:53:19.93,1,2,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Archer, Nathan",1000121176,Left,BGS_FAL,Undefined,1,Top,0,1,0,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,90.81609,-3.412697,-2.894176,2209.154597,,,5.85741,1.12086,7.2432,,,,1.53595,-0.0354,82.63965,-6.294447,0.3398,0.410051,98.27535,-23.126791,19.267366,,,,,6.03039,6.03039,10.367955,0.029257,-10.38945,10.94359,-0.95989,50,5.6577,6.05647,-131.82883,-8.16785,-18.13929,30.08515,-13.06727,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,64c78c30-bb8f-11ed-8b41-dd2b01eed967,91.92127,1.65825,,8.17644,,,,2.26671,1.65825,-0.19591,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:53:19.93,2023-03-05T13:53:19.9376772-06:00,2023-03-05T19:53:19.9376772Z,GroundBall,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,264d32f3-5ee7-4da4-b7aa-a2a7f5b5475a,53.25679,-132.56999,15.04258,5.85496,-7.84594,-6.53364,-1.11459,6.50334,-9.06965,,2.26602,125.27663,,,,,,,,1.65857,-56.6789,,,,,,,,-0.19615,43.79116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Low,Low,,,
3,2023-03-05,13:53:49.60,2,1,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Seidel, Sam",10006619,Left,BGS_FAL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.81193,-3.847307,-2.24196,2119.403015,221.320698,1:30,5.8256,1.28495,7.15595,-15.03257,17.14745,14.21969,1.07768,0.43674,83.71326,-6.751331,0.371455,0.408286,,,,,,,,,,,,-8.23918,10.53674,-1.15721,50,5.59488,4.66826,-131.91994,-9.20524,-14.60361,26.53651,-13.49804,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,75b22500-bb8f-11ed-8b41-dd2b01eed967,92.3187,,,7.09867,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:53:49.60,2023-03-05T13:53:49.6026500-06:00,2023-03-05T19:53:49.6026500Z,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,b45e090a-59ef-4276-baf7-24f50ae7d12b,53.34446,-132.59099,13.26826,5.82334,-8.8639,-6.74902,-1.27993,5.03756,-7.3018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-05,13:54:01.28,2,2,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Seidel, Sam",10006619,Left,BGS_FAL,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.29448,-3.893383,-2.493105,2163.220745,225.947674,1:30,5.87796,1.11145,7.14643,-17.89765,14.19237,13.5993,0.84802,-0.01691,83.66485,-7.32848,0.006225,0.407715,,,,,,,,,,,,-8.04867,9.05863,-0.9686,50,5.64319,5.29401,-132.51931,-9.45493,-14.28421,28.84601,-16.09748,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,7a510180-bb8f-11ed-8b41-dd2b01eed967,92.44807,,,7.62963,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:54:01.28,2023-03-05T13:54:01.2897668-06:00,2023-03-05T19:54:01.2897668Z,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,dea5262d-04d8-49d9-87f5-6fb17078406c,53.35369,-133.24732,14.42301,5.87669,-9.04867,-8.04874,-1.10676,5.65451,-7.1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-03-05,13:54:13.82,2,3,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Seidel, Sam",10006619,Left,BGS_FAL,Undefined,1,Top,1,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.46026,-2.219725,-2.088937,2324.183942,229.874824,1:45,5.81568,1.19329,7.07054,-16.81462,16.04808,17.72221,2.3968,0.77273,82.25379,-5.485639,1.163349,0.412594,,,,,,,,,,,,-10.04272,9.57485,-1.07194,50,5.6764,4.13594,-131.44466,-5.47448,-17.43119,29.91963,-15.55489,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,824830c0-bb8f-11ed-8b41-dd2b01eed967,91.35478,,,8.20647,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:54:13.82,2023-03-05T13:54:13.8282884-06:00,2023-03-05T19:54:13.8282884Z,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,0763f59c-d82f-47d7-8b8d-30cdca1f0303,53.4274,-132.2225,14.95982,5.81346,-5.07008,-7.77744,-1.18535,4.58911,-8.7156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-03-05,13:54:26.93,2,4,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Seidel, Sam",10006619,Left,BGS_FAL,Undefined,1,Top,1,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.36324,-2.521354,-3.141404,2267.063664,225.367459,1:30,5.62613,1.34264,7.22216,-20.51997,15.14954,14.19028,1.62873,-0.32148,79.13797,-6.471111,-0.53237,0.429853,,,,,,,,,,,,-8.52032,9.22,-1.16546,50,5.47481,6.41257,-125.46525,-5.99161,-13.57044,25.57441,-17.48924,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,8bbd9b90-bb8f-11ed-8b41-dd2b01eed967,87.68679,,,7.22527,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:54:26.93,2023-03-05T13:54:26.9353348-06:00,2023-03-05T19:54:26.9353348Z,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,42bb9079-cb5c-4581-9580-d3a9815ee0bf,53.27715,-126.13149,12.78721,5.62497,-5.536,-8.74462,-1.33711,6.76609,-6.78522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,,,2,5,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Seidel, Sam",10006619,Left,BGS_FAL,Undefined,1,Top,1,2,2,Fastball,,InPlay,Undefined,GroundBall,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,a0743080-bb8f-11ed-8b41-dd2b01eed967,,,,,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,,,,,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-03-05,13:55:14.00,3,1,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Gurney, Kyle",1000078577,Right,BGS_FAL,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,90.04979,-1.987061,-2.084216,2270.537668,,,5.84492,1.42367,7.02753,,,,2.48261,1.46468,82.15397,-5.581619,2.176024,0.414144,,,,,,,,,,,,-13.00509,8.63619,-1.30306,50,5.71758,3.92,-130.93521,-4.99527,-22.45271,29.06721,-17.26402,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,a9bbfba0-bb8f-11ed-8b41-dd2b01eed967,91.01298,,,7.89582,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:55:14.00,2023-03-05T13:55:14.0033412-06:00,2023-03-05T19:55:14.0033412Z,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,62b4436c-abae-4e49-9d4f-ad3e648a048a,53.47262,-131.70386,14.5336,5.84364,-4.53873,-8.63201,-1.41457,4.51374,-11.22636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
9,2023-03-05,13:55:30.50,3,2,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Gurney, Kyle",1000078577,Right,BGS_FAL,Undefined,1,Top,1,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,91.354,-4.762283,-3.522753,2125.813774,,,5.96069,1.49409,7.08905,,,,0.99273,0.40513,82.00724,-6.355931,1.12078,0.412082,,,,,,,,,,,,-14.70532,15.45765,-1.28971,50,5.67183,7.18879,-132.16877,-11.05805,-25.49876,33.35195,-5.37083,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,b3d4d260-bb8f-11ed-8b41-dd2b01eed967,91.46836,,,9.34677,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:55:30.50,2023-03-05T13:55:30.5045380-06:00,2023-03-05T19:55:30.5045380Z,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,64200b81-1a2a-48a5-ae59-b6872e921945,53.40995,-133.02646,16.67597,5.95443,-10.91993,-2.68541,-1.48302,7.84453,-12.74938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
10,2023-03-05,13:55:49.08,3,3,"Blunt, Jarrett",1000098143,Right,EVA_ACE,"Gurney, Kyle",1000078577,Right,BGS_FAL,Undefined,1,Top,1,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.89233,-1.670453,-2.788683,2226.529595,226.769189,1:30,5.80683,1.24532,7.03725,-15.82206,16.90166,16.76025,2.9685,0.10651,82.23447,-4.766142,0.282273,0.411721,,,,,,,,,,,,-9.73831,9.86323,-1.0801,50,5.69965,5.79182,-131.9866,-4.19359,-16.98091,31.10641,-14.97531,EVA_ACE,BGS_FAL,EvansvilleU,D1,MVC,20230305-EvansvilleU-2,bc836ac0-bb8f-11ed-8b41-dd2b01eed967,91.54857,,,8.65786,,,,,,,ecf12930-19e0-476a-b325-fb9146b70f0e,2023-03-05,19:55:49.08,2023-03-05T13:55:49.0893188-06:00,2023-03-05T19:55:49.0893188Z,,v3,471290,471244,05 March 2023 14:00-bowlgreen@evansville,"Hord, Brendan",1000049391,Right,EVA_ACE,937780e0-7601-4c81-b56b-07955a818908,53.4597,-132.79947,15.55321,5.80412,-3.80225,-7.48765,-1.23724,6.23557,-8.49045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
