PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-07,16:33:41.66,1,1,"Moore, Grayson",1000013062,Right,VAN_COM,"Green, Jackson",1000120287,Right,TEN_TEC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.38707,-3.19673,-1.602904,2070.448947,192.149467,12:30,6.15233,0.81594,6.82236,-11.03229,20.82478,4.24843,2.31268,-0.29261,83.9326,-5.386914,-0.827282,0.406232,,,,,,,,,,,,-2.71138,12.27969,-0.71408,50,5.94155,3.58338,-134.07288,-7.68141,-4.89922,30.96642,-9.98587,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,1d00e6d0-bd38-11ed-84d9-6b18a25e6e43,92.78544,,,8.45447,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:33:41.66,2023-03-07T16:33:41.6667590-06:00,2023-03-07T22:33:41.6667590Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,79879bfa-a6eb-4f79-89f0-7a4e1922c2bb,53.67256,-134.91846,15.48321,6.14757,-7.40874,-4.99294,-0.81375,3.71716,-2.44961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-07,16:33:54.64,1,2,"Moore, Grayson",1000013062,Right,VAN_COM,"Green, Jackson",1000120287,Right,TEN_TEC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.01232,-1.647136,-1.134114,2214.370861,193.541277,12:30,6.28577,0.79414,6.58992,-12.99367,18.50194,4.21083,3.69302,0.10575,84.80243,-4.181008,-0.368455,0.403921,,,,,,,,,,,,-2.51351,10.46339,-0.71807,50,6.16707,2.50164,-135.15696,-4.18124,-4.63848,30.10374,-12.86472,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,24a89680-bd38-11ed-84d9-6b18a25e6e43,93.31637,,,8.20989,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:33:54.64,2023-03-07T16:33:54.6444230-06:00,2023-03-07T22:33:54.6444230Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,00f95301-3844-417b-97d6-4bed2d586f2a,53.90512,-136.02397,15.05187,6.28216,-3.81073,-6.43236,-0.79205,2.63523,-2.31924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-07,16:34:09.23,1,3,"Moore, Grayson",1000013062,Right,VAN_COM,"Green, Jackson",1000120287,Right,TEN_TEC,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.99267,1.336745,0.747095,2276.525565,44.55482,7:30,6.32483,0.51611,6.23991,-67.82047,-15.74178,-17.16217,1.90645,-0.22492,67.14855,-11.122819,-2.366521,0.519399,,,,,,,,,,,,9.10134,-7.99756,-0.56384,50,6.39206,-0.80962,-106.16427,0.50534,10.26829,20.11865,-41.19702,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,2d69a570-bd38-11ed-84d9-6b18a25e6e43,72.56926,,,5.84412,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:34:09.23,2023-03-07T16:34:09.2339654-06:00,2023-03-07T22:34:09.2339654Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,07cba7fb-d529-4f01-8e98-dc84ac966c33,54.26345,-106.96916,10.05932,6.33887,2.15352,-20.59851,-0.52323,-1.22043,5.13415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-07,16:34:24.60,1,4,"Moore, Grayson",1000013062,Right,VAN_COM,"Green, Jackson",1000120287,Right,TEN_TEC,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.66604,-1.951025,-0.735195,2196.556604,195.07221,12:30,6.32074,0.65519,6.53365,-9.91209,20.9708,5.34335,3.70429,0.42607,85.14862,-3.945171,0.235418,0.399973,,,,,,,,,,,,-2.9978,11.87418,-0.60605,50,6.18031,1.52971,-137.35408,-4.83788,-5.63469,34.99726,-9.85524,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,36883db0-bd38-11ed-84d9-6b18a25e6e43,94.23749,,,9.51741,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:34:24.60,2023-03-07T16:34:24.6040000-06:00,2023-03-07T22:34:24.6040000Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,0f077289-d3a5-4de6-bda9-b94ca93910d9,53.95887,-138.35911,17.49863,6.31518,-4.55486,-4.92762,-0.65231,1.69152,-2.81734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.60544,,,0.929175,,,,3.55219,5.15247,0.93147,79.87154,6.1085,44.90403,3.72805,90.65754,-9.27552,5.17362,11.82618,-11.63088,0.93065,48.34068,-1.09269,High,High,High,,,High,High,High
5,2023-03-07,16:34:51.05,2,1,"Moore, Grayson",1000013062,Right,VAN_COM,"Gilliland, Hayden",1000076245,Left,TEN_TEC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.72289,-1.253237,-0.328717,2234.248882,194.14606,12:30,6.18376,0.8475,6.59387,-14.09938,18.31698,4.34937,3.86039,0.90877,83.49601,-3.997424,0.46239,0.409783,,,,,,,,,,,,-2.35059,10.26225,-0.82649,50,6.09162,0.58541,-133.29682,-3.23893,-4.21248,29.70816,-13.78305,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,464cf420-bd38-11ed-84d9-6b18a25e6e43,91.98156,,,8.22689,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:34:51.05,2023-03-07T16:34:51.0568390-06:00,2023-03-07T22:34:51.0568390Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,0b9efa63-a47d-400e-b64f-d98864075c4a,53.90023,-134.16325,14.85408,6.18022,-2.83695,-6.89153,-0.84535,0.70827,-2.10624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-03-07,16:35:04.93,2,2,"Moore, Grayson",1000013062,Right,VAN_COM,"Gilliland, Hayden",1000076245,Left,TEN_TEC,Undefined,1,Top,1,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.4263,1.594931,0.502324,2249.686419,26.485272,7:00,6.25453,0.4746,5.44379,-77.1811,-20.43304,-11.19898,1.31652,0.01167,65.12492,-12.381311,-1.501583,0.542184,,,,,,,,,,,,5.75977,-10.05804,-0.51127,50,6.34317,-0.49437,-103.62428,0.38198,6.11704,21.07198,-42.85599,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,4ea72af0-bd38-11ed-84d9-6b18a25e6e43,69.51962,,,6.30138,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:35:04.93,2023-03-07T16:35:04.9346502-06:00,2023-03-07T22:35:04.9346502Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,eb727686-1de9-41f0-b1aa-a19cd786fab4,55.05872,-104.64791,10.53599,6.27405,2.46383,-21.428,-0.48004,-0.79153,3.05852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-07,16:35:20.58,2,3,"Moore, Grayson",1000013062,Right,VAN_COM,"Gilliland, Hayden",1000076245,Left,TEN_TEC,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.65363,-2.655666,-1.340397,2267.763058,196.291332,12:30,6.13012,0.78452,6.61628,-12.48839,19.42147,5.35705,2.65491,0.00316,84.11782,-5.105135,-0.365869,0.406569,,,,,,,,,,,,-3.19543,11.30276,-0.69535,50,5.9439,2.92718,-134.48646,-6.50442,-5.80711,31.27034,-11.63346,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,57f62200-bd38-11ed-84d9-6b18a25e6e43,92.70864,,,8.53581,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:35:20.58,2023-03-07T16:35:20.5809094-06:00,2023-03-07T22:35:20.5809094Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,e8424ce0-2a5c-42a7-9df3-0339c73d0047,53.87848,-135.38526,15.63517,6.12605,-6.17004,-5.81673,-0.78188,3.09409,-2.90355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-07,16:35:37.17,2,4,"Moore, Grayson",1000013062,Right,VAN_COM,"Gilliland, Hayden",1000076245,Left,TEN_TEC,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.36611,-2.598667,-0.953355,2178.52439,200.90582,12:45,6.07874,0.81096,6.83913,-12.7506,18.14481,6.55823,2.64444,0.48801,85.4528,-5.085408,0.245115,0.400054,,,,,,,,,,,,-3.71732,10.62178,-0.75181,50,5.90689,1.99928,-135.70008,-6.43421,-6.93452,29.57549,-12.35962,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,61d32840-bd38-11ed-84d9-6b18a25e6e43,94.21847,,,7.9133,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:35:37.17,2023-03-07T16:35:37.1779526-06:00,2023-03-07T22:35:37.1779526Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,283a10da-50e2-479a-9869-d53f3cafcf20,53.65703,-136.49479,14.78774,6.07532,-6.1021,-6.17981,-0.80803,2.18562,-3.46726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-07,16:35:53.40,2,5,"Moore, Grayson",1000013062,Right,VAN_COM,"Gilliland, Hayden",1000076245,Left,TEN_TEC,Undefined,1,Top,1,2,2,Splitter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.84441,-4.723989,-1.61209,3001.029859,218.145795,1:15,6.22288,0.6084,6.63346,-31.13246,7.61103,5.03996,-0.70791,-0.44789,77.66693,-10.487462,-0.69231,0.447992,,,,,,,,,,,,-3.1441,5.64181,-0.5015,50,5.88987,3.25364,-121.58735,-10.9194,-4.71182,23.59438,-23.71909,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,6b779250-bd38-11ed-84d9-6b18a25e6e43,84.13632,,,6.17748,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:35:53.40,2023-03-07T16:35:53.4050758-06:00,2023-03-07T22:35:53.4050758Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,61b21f82-c8b1-4d98-9450-158dbcbb1419,53.86661,-122.33537,11.79719,6.22413,-10.16742,-11.85955,-0.60702,3.40302,-2.35591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-07,16:36:12.44,2,6,"Moore, Grayson",1000013062,Right,VAN_COM,"Gilliland, Hayden",1000076245,Left,TEN_TEC,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.38742,-4.452792,-1.935866,2203.340203,199.448966,12:45,6.16162,0.62989,6.7178,-9.92729,20.63013,6.93059,1.25376,-0.56271,86.27302,-6.414053,-0.673387,0.397859,,,,,,,,,,,,-4.19441,12.44394,-0.50419,50,5.86195,4.34757,-136.83021,-10.84354,-7.94281,30.51675,-8.60944,VAN_COM,TEN_TEC,Vanderbilt,D1,SEC,20230307-Vanderbilt-1,76d433b0-bd38-11ed-84d9-6b18a25e6e43,94.7381,,,8.1144,,,,,,,d8b026b1-7555-4dfd-a175-23bf50b3ffb3,2023-03-07,22:36:12.44,2023-03-07T16:36:12.4415942-06:00,2023-03-07T22:36:12.4415942Z,,v3,5046,471458,07 March 2023 16:30-tntech@vandy,"Bulger, Jack",690965,Right,VAN_COM,c3d8b6e7-6cbb-459e-a390-7677ce9ac424,53.77919,-137.67049,15.25837,6.15727,-10.60648,-4.30472,-0.62691,4.56628,-3.97141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
