PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-11,13:02:48.23,1,1,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,98.14736,-4.163514,-4.483897,2256.371436,210.215617,1:00,6.725,1.954,5.5898,-8.85997,20.93155,11.58264,2.07984,-1.27654,88.99763,-5.910765,-2.427125,0.392842,,,,,,,,,,,,-7.1367,12.08229,-1.5757,50,6.36011,10.53859,-141.65446,-10.55168,-14.42656,33.90832,-7.75014,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,04c33cd0-c03f-11ed-91c7-fd227ea184b8,95.94817,,,9.14972,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:02:48.23,2023-03-11T13:02:48.2361314-06:00,2023-03-11T19:02:48.2361314Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,a4cda36a-db6c-4e18-bb63-6176f6fda836,54.91166,-142.82534,16.95416,6.71985,-10.28407,-3.87507,-1.9482,11.03675,-7.21328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-11,13:03:03.83,1,2,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,97.25143,-4.862717,-3.913826,2187.23941,240.724811,2:00,6.70625,1.97185,5.46414,-18.46147,12.10489,19.66135,0.59456,-0.05885,88.31755,-8.292616,-0.418889,0.397918,,,,,,,,,,,,-11.13725,7.89162,-1.64073,50,6.26353,8.65607,-140.32435,-12.64969,-22.02106,34.23134,-16.57036,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,0e0cdcb0-c03f-11ed-91c7-fd227ea184b8,94.72423,,,8.93388,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:03:03.83,2023-03-11T13:03:03.8357986-06:00,2023-03-11T19:03:03.8357986Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,93bfd8aa-8f14-4c0d-af4f-9a7f1d662a91,55.03969,-141.54841,17.11567,6.70528,-12.05716,-8.28518,-1.96433,9.44351,-11.01053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-11,13:03:22.55,1,3,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,89.50585,-3.441977,-6.084185,2451.185264,175.114253,11:45,6.43669,2.31948,5.82198,-30.62277,5.64225,-0.36299,0.66251,-3.38906,80.60421,-9.07199,-6.148674,0.433426,,,,,,,,,,,,-1.93591,4.51307,-1.81948,50,6.13537,13.73974,-128.75346,-8.85795,-3.17319,32.59925,-24.77659,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,193a57c0-c03f-11ed-91c7-fd227ea184b8,86.96386,,,8.90165,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:03:22.55,2023-03-11T13:03:22.5509858-06:00,2023-03-11T19:03:22.5509858Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,a6c23ddb-bdf7-4a44-b3e5-48b9137344d3,54.67652,-129.93212,16.29963,6.43944,-7.96213,-12.3883,-2.31833,13.85447,-1.58659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-11,13:03:43.92,1,4,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,2,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.83496,-0.891263,-4.051638,2451.493569,200.044659,12:45,6.5084,2.20922,5.57052,-34.81057,2.45449,0.41902,2.77279,-1.54709,79.65185,-7.280368,-3.977133,0.439362,,,,,,,,,,,,-1.48799,1.94,-1.85955,50,6.40882,8.98137,-127.05882,-3.25865,-2.40167,29.10848,-29.04278,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,25fa32a0-c03f-11ed-91c7-fd227ea184b8,85.78908,,,8.18311,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:03:43.92,2023-03-11T13:03:43.9200000-06:00,2023-03-11T19:03:43.9200000Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,8ac0e0ef-f0b5-490a-9b9d-785e33b6ec42,54.92989,-128.18325,14.55424,6.51303,-2.13675,-14.52139,-2.20828,9.07414,-1.20084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-03-11,13:04:01.32,1,5,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Fougerousse, Kip",1000050534,Right,EVA_ACE,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.57059,-1.633006,-4.224736,2499.801889,106.514622,9:30,6.47953,2.29837,5.57795,-35.56671,1.6191,-1.43099,1.98578,-1.7741,80.2741,-8.119022,-4.4792,0.438894,,,,,,,,,,,,-0.49874,1.67973,-1.93303,50,6.31539,9.42486,-126.74793,-4.92904,-0.80838,26.77686,-29.4514,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,3056c920-c03f-11ed-91c7-fd227ea184b8,85.88043,,,7.29649,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:04:01.32,2023-03-11T13:04:01.3250000-06:00,2023-03-11T19:04:01.3250000Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,000550fa-1969-4162-86aa-568a75349e20,54.92422,-127.78399,13.38843,6.48407,-3.78949,-14.7257,-2.2983,9.45614,-0.40419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.20639,2.686522,1.292186,1.394336,-0.96294,1.63858,1.96075,-5.74123,4.17758,2.09646,68.52642,5.02391,56.26034,-5.58163,60.26564,-5.09115,4.3171,21.037,-14.70898,2.14486,41.92133,-2.22711,High,High,High,,,High,High,High
6,2023-03-11,13:04:31.10,2,1,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,98.49226,-1.263966,-3.471881,2218.884443,216.90162,1:15,6.75017,1.8562,5.45494,-9.98378,19.48812,13.89394,4.73252,-0.24028,89.36221,-3.209556,-1.005075,0.390729,,,,,,,,,,,,-7.89433,10.39666,-1.55886,50,6.63167,7.94348,-142.64807,-3.41981,-16.21978,33.68901,-10.813,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,420dd9b0-c03f-11ed-91c7-fd227ea184b8,96.46702,,,9.13005,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:04:31.10,2023-03-11T13:04:31.1097826-06:00,2023-03-11T19:04:31.1097826Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,2a2c6e62-c506-4a3d-8025-227e061d16b1,55.04559,-143.83474,16.8445,6.74542,-3.03892,-5.4065,-1.84873,8.51481,-8.10989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-11,13:04:46.14,2,2,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,90.39984,-1.513915,-2.146735,1677.165668,259.013945,2:45,6.44663,2.30532,5.64807,-29.35313,5.27331,21.37363,2.58702,2.08302,82.62892,-6.92168,1.675156,0.423521,,,,,,,,,,,,-11.34323,3.4852,-2.13628,50,6.2996,3.94497,-131.16673,-4.55227,-19.70085,28.54144,-26.12095,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,4b0b0740-c03f-11ed-91c7-fd227ea184b8,88.99775,,,7.77092,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:04:46.14,2023-03-11T13:04:46.1483490-06:00,2023-03-11T19:04:46.1483490Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,7c677993-759e-44ef-b6be-6be04f6b44b2,54.85488,-132.21891,14.27072,6.44967,-3.58931,-13.06048,-2.2951,4.67125,-9.85042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-11,13:05:01.19,2,3,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,99.1896,-1.829738,-3.690407,2206.951942,218.040959,1:15,6.76531,1.9026,5.47669,-10.41245,18.84887,13.93068,4.18118,-0.39479,89.42385,-3.86117,-1.216867,0.389331,,,,,,,,,,,,-8.08225,10.31221,-1.58741,50,6.59735,8.54264,-143.49225,-4.88231,-16.67978,36.35496,-10.89219,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,54021a50-c03f-11ed-91c7-fd227ea184b8,96.81345,,,9.76575,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:05:01.19,2023-03-11T13:05:01.1991522-06:00,2023-03-11T19:05:01.1991522Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,c3a13a42-0fbc-4369-95b0-7e9e5647cf0f,55.02354,-144.7594,18.17748,6.76091,-4.50266,-5.4461,-1.8953,9.12402,-8.33989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-11,13:05:17.86,2,4,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,98.77807,-2.405117,-2.788293,2193.647647,218.765359,1:15,6.61166,1.98332,5.67518,-9.55749,19.73052,14.99627,3.56884,0.63132,89.02819,-4.291222,-0.111746,0.389508,,,,,,,,,,,,-8.38607,11.00611,-1.757,50,6.40235,6.21299,-142.99956,-6.24164,-17.16383,36.53638,-9.64781,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,5de8bd80-c03f-11ed-91c7-fd227ea184b8,96.76936,,,9.74988,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:05:17.86,2023-03-11T13:05:17.8605538-06:00,2023-03-11T19:05:17.8605538Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,1780e8ad-59d7-45b9-b162-0ec0b116fde2,54.82476,-144.22702,18.26819,6.60659,-5.91752,-4.8239,-1.97542,6.78962,-8.58191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-11,13:05:37.36,2,5,"Swan, Eriq",1000099444,Right,MTSU_BLU,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,99.60334,-1.696631,-2.804004,2225.764609,215.886039,1:15,6.6397,2.0186,5.59532,-10.24977,18.67375,12.74969,4.19899,0.46079,89.58436,-3.705647,-0.532106,0.387077,,,,,,,,,,,,-7.25319,10.22666,-1.78595,50,6.4874,6.40952,-144.1933,-4.54644,-15.0682,37.67706,-10.92857,MTSU_BLU,EVA_ACE,ReeseField,D1,CUSA,20230311-ReeseField-1,698f8740-c03f-11ed-91c7-fd227ea184b8,97.37719,,,10.01898,,,,,,,25cff4d2-b5a0-4e48-ae6c-e25853dbe09d,2023-03-11,19:05:37.36,2023-03-11T13:05:37.3635042-06:00,2023-03-11T19:05:37.3635042Z,,v3,471359,471290,11 March 2023 14:00-evansville@mtennst,"Boyd, Jeremiah",1000057612,Right,MTSU_BLU,409baab6-2c93-43ff-aec8-61a33477a466,54.90377,-145.46899,18.83853,6.63507,-4.17642,-5.46429,-2.01161,6.91971,-7.5341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
