PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-26,13:02:43.16,1,1,"Eddington, Jake",690974,Right,MIS_BEA,"Roberts, Eric",1000060003,Right,EVA_ACE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.74769,-1.01517,-1.752324,2532.250872,220.542838,1:15,5.27525,1.95168,6.0712,-15.6719,13.89446,11.10497,3.02932,1.25505,88.53271,-3.990676,0.246952,0.391355,,,,,,,,,,,,-6.15898,7.70311,-1.82156,50,5.18811,3.79445,-140.55852,-2.98627,-12.35299,31.09675,-16.72401,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,681caf10-cc00-11ed-9705-59cf5fa3f640,96.31273,,,8.21498,,,,,,,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:02:43.16,2023-03-26T13:02:43.1600304-05:00,2023-03-26T18:02:43.1600304Z,,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,d80bd22f-d2d7-4119-8071-908ed87dc5b2,54.4272,-141.53459,15.54837,5.2736,-2.46133,-8.36201,-1.94674,4.18219,-6.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-03-26,13:02:55.59,1,2,"Eddington, Jake",690974,Right,MIS_BEA,"Roberts, Eric",1000060003,Right,EVA_ACE,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.31742,-1.521521,-1.247805,2444.670465,227.939695,1:30,5.11516,2.16853,6.09597,-17.67064,12.67678,13.04052,2.23464,2.10093,87.56936,-4.851555,1.102316,0.39649,,,,,,,,,,,,-7.02197,7.21996,-2.07896,50,4.98852,2.43896,-138.5385,-4.25224,-13.71826,29.43912,-18.06898,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,6f8d9750-cc00-11ed-9705-59cf5fa3f640,95.06528,,,7.74806,,,,,,,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:02:55.59,2023-03-26T13:02:55.5932336-05:00,2023-03-26T18:02:55.5932336Z,,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,6c94650a-23cd-4eb1-937b-fe7b3aedc1a8,54.40322,-139.47104,14.71956,5.11415,-3.67988,-9.03449,-2.1631,2.87351,-6.85913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-03-26,13:03:11.42,1,3,"Eddington, Jake",690974,Right,MIS_BEA,"Roberts, Eric",1000060003,Right,EVA_ACE,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.95878,-2.480153,-3.859064,2505.595575,225.674268,1:30,5.05139,2.11861,6.14469,-17.39906,13.13304,12.53138,1.30297,-0.40859,87.58023,-5.752869,-1.605377,0.397695,,,,,,,,,,,,-7.45894,7.69528,-1.83074,50,4.85289,8.75701,-137.74977,-6.53618,-14.47388,27.7564,-17.24157,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,78f67f00-cc00-11ed-9705-59cf5fa3f640,94.77734,,,7.37855,,,,,,,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:03:11.42,2023-03-26T13:03:11.4201776-05:00,2023-03-26T18:03:11.4201776Z,,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,36c5aa11-d362-4cf5-baeb-9808b3ee5405,54.35619,-138.62476,13.8782,5.05036,-5.99266,-8.62079,-2.11399,9.21329,-7.23694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-03-26,13:03:26.85,1,4,"Eddington, Jake",690974,Right,MIS_BEA,"Roberts, Eric",1000060003,Right,EVA_ACE,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.23469,-2.336238,-3.840552,2491.30919,234.931219,1:45,5.0951,2.19561,6.15615,-19.31867,11.84205,15.48942,1.32075,-0.06712,86.43283,-5.96856,-1.053135,0.401768,,,,,,,,,,,,-9.04607,7.04819,-1.91134,50,4.90719,8.51138,-136.64851,-6.21128,-17.16599,29.09689,-18.79927,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,823c0030-cc00-11ed-9705-59cf5fa3f640,93.81643,,,7.80186,,,,,,,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:03:26.85,2023-03-26T13:03:26.8561072-05:00,2023-03-26T18:03:26.8561072Z,,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,b8cc0217-9501-40a5-82fa-a290472dd167,54.34427,-137.57043,14.54845,5.09455,-5.61563,-9.39964,-2.18963,9.05528,-8.58299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-03-26,13:03:43.29,1,5,"Eddington, Jake",690974,Right,MIS_BEA,"Roberts, Eric",1000060003,Right,EVA_ACE,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,95.76716,-1.253157,-3.391711,2436.720374,226.2593,1:30,5.07036,2.12222,5.99548,-16.91261,13.33591,12.97808,2.49748,0.05702,87.84892,-4.444333,-1.062874,0.395843,71.91664,-40.250177,79.47899,,,,,4.0018,2.68777,45.919685,0.037424,-7.59579,7.47374,-1.86211,50,4.96214,7.66856,-139.00819,-3.60055,-14.94013,29.63825,-17.47403,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,8c049410-cc00-11ed-9705-59cf5fa3f640,95.2206,2.55955,,7.91824,,,,2.23185,2.55955,-0.09786,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:03:43.29,2023-03-26T13:03:43.2984240-05:00,2023-03-26T18:03:43.2984240Z,GroundBall,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,2a4699ac-6b76-42da-ba8f-f4e402327a64,54.50525,-139.96547,14.81913,5.06932,-3.03616,-8.73701,-2.11759,8.15111,-7.47006,,2.23153,14.75188,,,,,,,,2.56101,-68.39396,,,,,,,,-0.09956,79.43146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2023-03-26,13:04:09.28,1,6,"Eddington, Jake",690974,Right,MIS_BEA,"Roberts, Eric",1000060003,Right,EVA_ACE,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,95.4154,-2.354625,-3.862545,2341.135567,220.293853,1:15,5.08259,2.06758,6.0814,-15.69824,14.6752,11.67186,1.58975,-0.53875,87.76868,-5.3237,-1.766531,0.39666,,,,,,,,,,,,-6.99323,8.44898,-1.77479,50,4.8917,8.82913,-138.36857,-6.19161,-13.66639,28.56088,-15.6628,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,9b80a8c0-cc00-11ed-9705-59cf5fa3f640,95.0246,,,7.64672,,,,,,,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:04:09.28,2023-03-26T13:04:09.2840000-05:00,2023-03-26T18:04:09.2840000Z,,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,9184e40a-4345-4b4c-8226-858140a6f2d7,54.41847,-139.27761,14.28044,5.08084,-5.69309,-7.8314,-2.06273,9.2641,-6.83319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.70816,,,,,,,2.47509,5.99637,0.39638,,,,2.64909,86.08331,-5.98833,6.05713,15.91034,-12.61063,0.33161,-27.40188,2.17352,High,High,High,,,High,Medium,Low
7,2023-03-26,13:04:38.83,2,1,"Eddington, Jake",690974,Right,MIS_BEA,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.66594,-1.053709,-2.071443,2619.728506,219.381152,1:15,5.092,2.18227,6.09465,-15.75099,13.59044,10.47835,2.80404,1.13865,89.22005,-4.028214,-0.184696,0.389863,,,,,,,,,,,,-5.88843,7.52571,-2.02794,50,5.00226,4.61494,-140.54573,-3.09123,-11.91818,28.30442,-16.94198,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,ad260610-cc00-11ed-9705-59cf5fa3f640,96.68125,,,7.44589,,,,,,,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:04:38.83,2023-03-26T13:04:38.8358320-05:00,2023-03-26T18:04:38.8358320Z,,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,559fef02-34fe-464e-9a9d-1db596960b3e,54.40511,-141.43009,14.15221,5.09058,-2.56188,-8.47099,-2.17795,4.98732,-5.95909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-26,13:04:53.17,2,2,"Eddington, Jake",690974,Right,MIS_BEA,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.21747,-2.593944,-2.621115,2412.639573,226.085555,1:30,4.97753,2.38305,6.03291,-18.1206,13.6845,13.23331,1.06126,1.05691,85.91519,-5.995871,-0.241269,0.405901,,,,,,,,,,,,-7.47548,8.00185,-2.18528,50,4.76469,5.62568,-135.32434,-6.71722,-13.97656,27.24747,-17.2133,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,b59f5da0-cc00-11ed-9705-59cf5fa3f640,92.86124,,,7.30228,,,,,,,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:04:53.17,2023-03-26T13:04:53.1713200-05:00,2023-03-26T18:04:53.1713200Z,,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,3cffe65f-1aa8-4e57-8141-5b584f1a1334,54.46729,-136.22085,13.62373,4.97638,-6.15085,-8.60665,-2.37795,6.08555,-6.98828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-26,13:05:11.89,2,3,"Eddington, Jake",690974,Right,MIS_BEA,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,95.79081,-1.284619,-3.246805,2361.324416,221.376673,1:30,5.10885,2.06362,6.34324,-15.64402,14.21635,11.71934,2.62045,0.04798,87.78242,-4.267724,-1.12978,0.393296,80.17906,66.250321,-121.838455,5061.971521,,,,,37.09944,,,-6.99772,8.03733,-1.83281,50,5.0078,7.40018,-139.11213,-3.58926,-13.76284,30.14054,-16.36655,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,c0ddefb0-cc00-11ed-9705-59cf5fa3f640,95.83742,67.7029,,8.00839,,,,1.33114,2.67076,-0.05444,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:05:11.89,2023-03-26T13:05:11.8974128-05:00,2023-03-26T18:05:11.8974128Z,,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,4938db02-a00d-4015-9d5d-2c570109f09b,54.15727,-140.00996,15.07027,5.10745,-3.10173,-8.18327,-2.05935,7.81015,-6.88142,16.096002,1.33115,-24.98477,-7.92928,3.33058,-1.22835,2.51501,-4.52094,3.81655,-1.23394,2.67076,107.63674,-35.39859,5.38869,-1.35184,1.30465,-1.95187,1.54869,-0.48207,-0.05444,-40.23503,2.66159,0.28232,-0.27172,0.7979,-1.5151,1.30739,-0.42857,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2023-03-26,13:05:33.12,2,4,"Eddington, Jake",690974,Right,MIS_BEA,"Hug, Chase",1000059471,Left,EVA_ACE,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,95.73862,-1.314283,-3.454192,2446.201625,214.480986,1:15,5.06389,2.13255,6.04877,-16.41469,13.98946,8.93611,2.47687,-0.32438,87.30735,-4.429322,-1.849761,0.39686,86.30189,2.954928,18.521548,1822.930241,,,,72.65344,68.04258,20.490601,0.60877,-5.60079,7.87902,-1.86831,50,4.95259,7.99059,-138.86631,-3.71274,-10.91965,31.54705,-16.81267,MIS_BEA,EVA_ACE,Hammons,D1,MVC,20230326-Hammons-1,cd6d1da0-cc00-11ed-9705-59cf5fa3f640,94.97654,3.13536,,8.43127,,,,0.69065,2.5545,0.37438,811daf5b-fbbe-4020-bef7-3740d1916082,2023-03-26,18:05:33.12,2023-03-26T13:05:33.1209392-05:00,2023-03-26T18:05:33.1209392Z,GroundBall,v3,471451,471290,26 March 2023 14:00-evansville@missourist,"Socci, Anthony",1000112421,Right,MIS_BEA,d6d30fe8-bff7-4f2a-b26f-afb61592987f,54.45092,-139.8738,15.77353,5.06259,-3.17581,-8.40634,-2.12907,8.33932,-5.45983,281.854925,0.71062,119.41874,-14.49352,,,,,,,2.56953,6.19369,-17.14615,,,,,,,0.36597,40.34184,1.39103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
